store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
1282,2016,239139,286,Specialist retail center,10/03/1997,4549,1,0,3,0,0,5,3,12,30,0,0,0.162042175,7.76486014
1297,2016,232984,292,Main shopping street,11/03/1997,10077,2,0,0,3,0,14,4,8,25,2,0,0.157342657,4.280821918
1292,2016,552292,340,Shopping center,17/03/1997,9424,0,0,0,4,0,64,8,20,111,0,0,0.099166667,14.72647059
1301,2016,192425,206,Outskirts / residential,28/04/1997,8015,0,0,0,4,0,41,6,12,43,3,0,0.161616162,2.427184466
1304,2016,184092,368,Outskirts / residential,02/05/1997,7778,0,0,0,4,0,47,1,22,70,2,0,0.262121212,
1308,2016,219331,301,Main shopping street,30/05/1997,4901,1,0,0,2,0,47,3,17,30,2,0,0.2239819,4.073089701
1305,2016,377425,290,Shopping center,02/06/1997,60251,0,0,0,13,3,171,19,53,274,4,1,0.079161206,8.275862069
1322,2016,340929,290,Outskirts / residential,26/08/1997,187133,1,0,0,68,20,1731,45,644,558,7,2,0.16222131,8.793103448
1320,2016,249312,187,Outskirts / residential,26/08/1997,50236,0,0,1,22,9,238,22,97,216,2,0,0.31450677,5.347593583
1316,2016,225419,246,Outskirts / residential,20/10/1997,86321,0,0,0,29,9,505,38,175,314,1,0,0.098391379,4.87804878
1311,2016,527569,296,Pedestrian zone,27/10/1997,14046,0,0,0,5,1,60,4,27,100,3,0,0.175814751,7.77027027
1323,2016,209589,235,Main shopping street,28/10/1997,13250,0,0,0,6,1,63,8,28,70,2,0,0.214049587,3.829787234
1333,2016,278672,334,Main shopping street,11/11/1997,78203,1,0,5,14,6,134,13,68,151,4,2,0.203654189,5.002994012
1317,2016,241726,235,Pedestrian zone,24/11/1997,22587,0,0,0,6,1,78,9,28,93,4,0,0.100084341,3.361702128
1332,2016,336984,353,Pedestrian zone,27/11/1997,29454,0,0,0,4,0,27,6,20,56,3,0,0.248359414,8.21529745
1330,2016,329847,199,Outskirts / residential,01/12/1997,20037,0,0,2,9,1,119,12,40,149,6,0,0.113799622,9.296482412
1337,2016,439518,330,Main shopping street,02/12/1997,17385,1,0,1,9,0,99,12,58,155,2,0,0.224806202,6.363636364
